frame,people_count,inference_fps
2,15,0.97
4,16,1.26
6,14,1.25
8,14,1.32
10,14,1.3
12,16,1.27
14,14,1.31
16,14,1.31
18,14,1.3
20,14,1.29
22,14,1.29
24,15,1.21
26,15,1.29
28,15,1.19
30,15,1.23
32,15,1.28
34,15,1.27
36,15,1.23
38,14,1.22
40,15,1.24
42,15,1.25
44,15,1.23
46,15,1.23
48,15,1.2
50,14,1.21
52,14,1.22
54,14,1.21
56,14,1.16
58,13,1.22
60,13,1.2
62,15,1.2
64,14,1.21
66,14,1.19
68,14,1.19
70,15,1.2
72,15,1.2
74,14,1.17
76,14,1.2
78,15,1.08
80,15,1.18
82,15,1.17
84,15,1.16
86,15,1.09
88,15,1.12
90,15,1.14
92,16,1.17
94,14,1.16
