frame,obj_id,cx,cy,velocity,dx,dy
8,0,939.01,308.88,1.0500476179678822,0.009999999999990905,1.0500000000000114
10,0,938.96,309.9,1.0212247548899107,-0.049999999999954525,1.0199999999999818
12,0,938.88,309.82,0.1131370849898653,-0.08000000000004093,-0.07999999999998408
14,0,938.7,310.13,0.3584689665786753,-0.17999999999994998,0.3100000000000023
16,0,937.87,310.49,0.9047098982547266,-0.8300000000000409,0.36000000000001364
18,0,936.82,310.85,1.1099999999999615,-1.0499999999999545,0.36000000000001364
20,0,936.09,310.88,0.7306161783043302,-0.7300000000000182,0.029999999999972715
22,0,934.64,311.89,1.7670880000724676,-1.4500000000000455,1.009999999999991
24,0,933.71,313.8,2.124382263153221,-0.92999999999995,1.910000000000025
26,0,932.8,315.44,1.8755532517100397,-0.9100000000000819,1.6399999999999864
28,0,931.18,316.56,1.9694669329542005,-1.6200000000000045,1.1200000000000045
30,0,928.57,317.16,2.6780776687765244,-2.6099999999999,0.6000000000000227
32,0,924.52,317.8,4.100256089563253,-4.050000000000068,0.6399999999999864
34,0,920.56,318.18,3.9781905434506633,-3.9600000000000364,0.37999999999999545
36,0,918.42,318.49,2.162336699036471,-2.1399999999999864,0.3100000000000023
38,0,917.67,318.91,0.859592926913672,-0.75,0.4200000000000159
40,0,917.1,319.16,0.6224146527837591,-0.5699999999999363,0.25
42,0,913.88,318.93,3.228203834952214,-3.2200000000000273,-0.2300000000000182
44,0,909.44,319.28,4.4537736808238755,-4.439999999999941,0.3499999999999659
46,0,904.66,319.59,4.790041753471552,-4.780000000000086,0.3100000000000023
48,0,899.37,319.86,5.296885877569918,-5.289999999999964,0.27000000000003865
50,0,895.99,320.39,3.4213009221639568,-3.3799999999999955,0.5299999999999727
52,0,893.25,321.09,2.828002828852905,-2.740000000000009,0.6999999999999886
54,0,890.04,321.42,3.226918034286006,-3.2100000000000364,0.3300000000000409
56,0,886.03,321.5,4.010797925600332,-4.009999999999991,0.07999999999998408
58,0,881.81,321.37,4.222001894836172,-4.220000000000027,-0.12999999999999545
60,0,878.05,321.48,3.761608698416136,-3.759999999999991,0.11000000000001364
62,0,874.24,322.5,3.9441729171018283,-3.8099999999999454,1.0199999999999818
64,0,871.89,322.56,2.350765832659669,-2.3500000000000227,0.060000000000002274
66,0,870.23,322.32,1.67725966981857,-1.6599999999999682,-0.2400000000000091
68,0,868.51,321.8,1.796886195617317,-1.7200000000000273,-0.5199999999999818
70,0,866.68,321.02,1.9892963580120977,-1.830000000000041,-0.7800000000000296
72,0,865.55,319.71,1.7300289014926877,-1.1299999999999955,-1.3100000000000023
74,0,863.62,319.24,1.9864037857393897,-1.92999999999995,-0.46999999999997044
76,0,860.82,319.3,2.800642783362374,-2.7999999999999545,0.060000000000002274
78,0,858.11,319.34,2.7102951868754435,-2.7100000000000364,0.03999999999996362
88,0,843.27,319.33,14.840003369271887,-14.840000000000032,-0.009999999999990905
90,0,834.57,319.2,8.700971210158025,-8.699999999999932,-0.12999999999999545
92,0,829.39,319.92,5.229799231328168,-5.180000000000064,0.7200000000000273
94,0,825.55,320.72,3.9224482150820377,-3.840000000000032,0.8000000000000114
96,0,822.34,320.94,3.2175301086391546,-3.2099999999999227,0.21999999999997044
98,0,818.67,320.97,3.6701226137556406,-3.6700000000000728,0.03000000000002956
100,0,814.17,320.91,4.5003999822238026,-4.5,-0.060000000000002274
102,0,808.59,320.01,5.652114648518663,-5.579999999999927,-0.9000000000000341
104,0,802.78,319.7,5.818264346005662,-5.810000000000059,-0.3100000000000023
106,0,797.52,319.59,5.261150064387055,-5.259999999999991,-0.11000000000001364
108,0,792.47,319.74,5.052227231627607,-5.0499999999999545,0.1500000000000341
110,0,787.61,320.07,4.871190819501955,-4.860000000000014,0.3299999999999841
112,0,783.32,320.37,4.30047671776045,-4.289999999999964,0.30000000000001137
114,0,779.05,320.23,4.272294465506891,-4.2700000000000955,-0.13999999999998636
116,0,775.69,320.35,3.362142174269156,-3.3599999999999,0.12000000000000455
118,0,772.13,320.5,3.563158711031606,-3.560000000000059,0.14999999999997726
132,0,758.98,318.15,13.358330734040068,-13.149999999999977,-2.3500000000000227
134,0,747.89,316.32,11.23997330957688,-11.090000000000032,-1.829999999999984
136,0,741.07,315.41,6.880443299671837,-6.819999999999936,-0.9099999999999682
