frame,obj_id,x1,y1,x2,y2,cx,cy,smooth_cx,smooth_cy,track_age,inf_ms
6,0,976.6,260.7,988.8,285.3,982.68,272.97,982.68,272.97,1,1207.0
6,1,1018.8,270.8,1030.4,294.3,1024.63,282.55,1024.63,282.55,1,
6,2,526.0,565.7,542.0,590.7,534.01,578.16,534.01,578.16,1,
6,3,392.3,683.3,414.4,712.5,403.35,697.86,403.35,697.86,1,
6,5,359.7,609.6,380.0,635.7,369.85,622.67,369.85,622.67,1,
6,7,720.0,520.8,737.5,549.3,728.72,535.03,728.72,535.03,1,
6,12,320.4,607.0,341.0,641.0,330.71,623.98,330.71,623.98,1,
6,21,739.7,515.7,754.5,547.7,747.09,531.7,747.09,531.7,1,
6,23,1227.2,437.1,1244.0,467.8,1235.64,452.45,1235.64,452.45,1,
6,26,753.8,293.7,764.1,318.3,758.95,306.01,758.95,306.01,1,
8,0,976.6,261.1,988.9,285.4,982.73,273.27,982.7,273.09,2,1237.41
8,1,1018.1,270.4,1030.3,294.2,1024.16,282.29,1024.44,282.45,2,
8,2,527.0,565.7,542.5,590.3,534.76,577.96,534.31,578.08,2,
8,3,393.7,683.3,415.3,712.6,404.5,697.95,403.81,697.89,2,
8,5,360.1,609.8,380.5,636.1,370.33,622.93,370.04,622.77,2,
8,7,720.0,521.0,737.5,549.3,728.73,535.15,728.72,535.08,2,
8,12,321.0,607.0,342.6,641.7,331.78,624.34,331.14,624.12,2,
8,21,740.1,518.2,753.6,547.1,746.87,532.66,747.0,532.08,2,
8,23,1227.2,437.0,1243.6,467.2,1235.41,452.11,1235.55,452.32,2,
8,26,753.6,294.1,764.0,318.9,758.79,306.51,758.89,306.21,2,
8,30,465.0,442.7,475.6,472.1,470.26,457.43,470.26,457.43,1,
10,0,976.6,261.2,988.9,285.4,982.73,273.28,982.71,273.17,3,1040.57
10,1,1017.9,270.4,1030.3,294.2,1024.12,282.26,1024.31,282.37,3,
10,2,527.2,565.6,542.5,590.1,534.81,577.89,534.51,578.01,3,
10,3,394.0,683.3,415.3,712.6,404.64,697.94,404.14,697.91,3,
10,5,360.2,609.8,380.6,636.2,370.38,622.99,370.18,622.86,3,
10,7,720.0,521.0,737.4,549.4,728.74,535.18,728.73,535.12,3,
10,12,320.9,607.0,342.8,641.8,331.87,624.38,331.43,624.23,3,
10,21,740.3,519.0,753.4,546.6,746.87,532.76,746.95,532.35,3,
10,23,1227.3,437.0,1243.5,467.2,1235.4,452.08,1235.49,452.22,3,
10,26,753.6,294.1,764.0,319.1,758.79,306.57,758.85,306.35,3,
10,30,464.9,442.7,475.6,472.4,470.22,457.53,470.25,457.47,2,
10,34,637.2,332.9,650.1,354.8,643.61,343.82,643.61,343.82,1,
12,0,976.7,261.7,989.1,285.9,982.89,273.83,982.78,273.43,4,1281.01
12,1,1016.9,269.5,1029.7,294.0,1023.32,281.8,1023.92,282.14,4,
12,2,530.2,561.8,544.7,588.1,537.45,574.92,535.69,576.77,4,
12,3,398.4,683.6,420.1,712.9,409.25,698.23,406.18,698.04,4,
12,5,363.6,610.0,382.6,635.7,373.09,622.82,371.34,622.85,4,
12,7,720.1,521.3,737.4,549.5,728.76,535.38,728.74,535.22,4,
12,12,324.0,608.4,346.6,643.1,335.3,625.79,332.98,624.85,4,
12,21,740.6,518.2,753.2,545.6,746.9,531.88,746.93,532.17,4,
12,23,1226.9,436.7,1242.8,466.3,1234.86,451.49,1235.24,451.93,4,
12,26,753.1,295.3,763.3,319.3,758.23,307.3,758.6,306.73,4,
12,30,467.3,441.7,477.5,469.8,472.4,455.78,471.11,456.79,3,
12,34,630.7,333.8,644.1,355.1,637.41,344.44,641.13,344.07,2,
14,2,531.3,560.0,545.2,587.8,538.26,573.93,536.71,575.64,5,1119.96
14,3,399.7,683.6,421.7,712.9,410.67,698.29,407.98,698.14,5,
14,5,364.8,610.1,383.1,635.4,373.94,622.75,372.38,622.81,5,
14,6,890.1,683.2,905.8,717.9,897.95,700.55,897.95,700.55,1,
14,7,720.1,521.4,737.5,549.5,728.77,535.43,728.76,535.31,5,
14,12,324.9,609.0,347.8,643.5,336.34,626.22,334.32,625.4,5,
14,16,1119.3,513.5,1140.3,543.3,1129.79,528.38,1129.79,528.38,1,
14,21,740.7,517.8,753.2,545.2,746.93,531.52,746.93,531.91,5,
14,26,753.0,295.8,763.1,319.2,758.07,307.5,758.39,307.04,5,
14,30,468.1,441.6,478.0,468.8,473.06,455.2,471.89,456.16,4,
14,34,629.0,334.1,642.7,355.1,635.85,344.6,639.02,344.28,3,
16,2,535.5,563.0,549.7,590.0,542.62,576.48,539.08,575.97,6,1132.72
16,3,402.0,683.9,424.0,713.1,413.01,698.53,409.99,698.3,6,
16,5,367.5,610.3,384.7,635.2,376.08,622.78,373.86,622.8,6,
16,6,887.2,683.1,902.7,717.0,894.98,700.07,896.76,700.36,2,
16,7,721.1,521.8,737.8,549.4,729.48,535.62,729.04,535.43,6,
16,12,327.3,610.4,349.0,643.6,338.16,626.97,335.86,626.03,6,
16,16,1118.0,513.9,1139.3,544.1,1128.67,529.0,1129.34,528.63,2,
16,21,740.6,517.0,753.2,544.9,746.91,530.93,746.92,531.52,6,
16,26,752.3,296.6,762.0,319.7,757.15,308.19,757.89,307.5,6,
16,30,471.5,441.5,482.0,468.4,476.79,454.94,473.85,455.67,5,
16,34,624.2,336.6,637.2,357.4,630.73,346.97,635.7,345.36,4,
16,42,812.4,374.7,828.0,398.2,820.19,386.45,820.19,386.45,1,
18,2,537.0,564.1,551.5,590.7,544.23,577.36,541.14,576.53,7,1124.52
18,5,368.5,610.3,385.0,635.1,376.78,622.72,375.03,622.77,7,
18,6,886.2,682.8,901.6,714.9,893.9,698.89,895.62,699.77,3,
18,7,720.9,521.9,737.7,549.4,729.26,535.66,729.13,535.52,7,
18,12,328.2,611.0,349.1,643.3,338.67,627.18,336.98,626.49,7,
18,21,740.6,516.6,753.3,544.9,746.95,530.79,746.93,531.23,7,
18,26,752.1,297.0,761.7,319.8,756.9,308.41,757.5,307.86,7,
18,30,472.6,441.5,483.6,468.5,478.12,454.98,475.56,455.39,6,
18,34,622.9,337.6,635.5,358.8,629.17,348.22,633.09,346.5,5,
18,42,811.5,374.9,826.1,397.7,818.81,386.28,819.64,386.38,2,
20,2,537.3,564.6,552.1,590.9,544.73,577.75,542.57,577.02,8,1085.72
20,5,368.9,610.3,385.0,635.1,376.99,622.7,375.81,622.74,8,
20,6,885.9,683.0,901.2,714.0,893.58,698.48,894.8,699.25,4,
20,7,720.8,522.0,737.6,549.3,729.19,535.66,729.16,535.58,8,
20,12,328.6,611.4,348.9,643.1,338.76,627.23,337.69,626.79,8,
20,21,740.6,516.4,753.3,545.0,746.97,530.74,746.95,531.03,8,
20,26,752.1,297.1,761.6,319.8,756.83,308.46,757.23,308.1,8,
20,30,472.9,441.5,484.2,468.5,478.52,455.0,476.74,455.24,7,
20,34,622.6,337.8,635.0,359.3,628.8,348.56,631.37,347.32,6,
20,42,811.6,374.9,825.8,397.6,818.68,386.24,819.26,386.33,3,
20,44,610.2,239.4,616.3,256.2,613.26,247.81,613.26,247.81,1,
20,46,1099.1,608.4,1115.5,642.3,1107.3,625.32,1107.3,625.32,1,
20,48,846.9,671.6,860.1,688.8,853.51,680.21,853.51,680.21,1,
22,2,540.0,564.9,554.8,590.3,547.4,577.64,544.5,577.27,9,1114.02
22,5,371.7,611.2,387.7,636.1,379.71,623.67,377.37,623.11,9,
22,6,883.4,682.4,898.6,713.6,891.03,698.01,893.29,698.76,5,
22,7,720.6,522.0,737.6,549.3,729.11,535.63,729.14,535.6,9,
22,12,331.5,612.1,351.0,643.0,341.25,627.52,339.12,627.08,9,
22,21,740.5,516.3,753.3,545.1,746.9,530.7,746.93,530.9,9,
22,26,751.3,298.2,760.8,321.4,756.06,309.8,756.76,308.78,9,
22,30,474.2,441.2,485.5,468.3,479.83,454.74,477.98,455.04,8,
22,34,618.7,339.3,630.8,360.5,624.71,349.86,628.71,348.34,7,
22,42,809.5,375.4,822.8,396.7,816.16,386.06,818.02,386.22,4,
22,44,610.2,239.4,616.3,256.3,613.27,247.85,613.26,247.82,2,
22,46,1098.8,607.0,1115.1,641.3,1106.99,624.12,1107.18,624.84,2,
22,48,842.9,670.1,856.4,688.2,849.63,679.12,851.96,679.77,2,
24,2,540.9,565.2,555.7,590.0,548.31,577.6,546.03,577.4,10,1095.95
24,3,416.7,687.6,434.6,714.5,425.66,701.04,416.26,699.39,7,
24,5,372.8,611.4,388.6,636.6,380.67,624.01,378.69,623.47,10,
24,6,882.6,682.2,897.7,713.6,890.17,697.91,892.04,698.42,6,
24,7,720.6,522.0,737.6,549.2,729.08,535.61,729.11,535.61,10,
24,12,332.7,612.4,351.5,642.8,342.13,627.61,340.32,627.29,10,
24,21,740.4,516.1,753.4,545.2,746.9,530.66,746.92,530.8,10,
24,26,751.0,298.6,760.5,322.0,755.8,310.27,756.38,309.38,10,
24,34,617.4,339.8,629.3,360.8,623.35,350.29,626.57,349.12,8,
24,46,1098.8,606.5,1115.0,641.1,1106.9,623.83,1107.07,624.44,3,
24,48,841.9,669.6,855.4,688.1,848.64,678.84,850.63,679.4,3,
26,2,542.8,565.3,557.4,589.9,550.11,577.62,547.66,577.49,11,1099.49
26,3,421.9,687.2,443.1,715.3,432.47,701.28,422.74,700.15,8,
26,5,376.4,612.7,392.1,637.3,384.25,624.99,380.91,624.08,11,
26,6,881.0,681.9,895.9,713.0,888.45,697.48,890.61,698.04,7,
26,7,720.5,522.1,737.5,549.2,728.99,535.65,729.06,535.62,11,
26,12,336.6,613.5,357.0,644.1,346.79,628.81,342.91,627.9,11,
26,21,740.4,515.6,753.5,545.2,746.95,530.43,746.93,530.66,11,
26,26,750.3,299.8,759.8,323.3,755.03,311.52,755.84,310.23,11,
26,34,614.9,340.7,626.8,361.5,620.84,351.12,624.28,349.92,9,
26,46,1098.6,604.3,1114.8,639.1,1106.7,621.74,1106.92,623.36,4,
26,48,840.2,669.1,853.9,687.7,847.02,678.4,849.19,679.0,4,
28,3,423.2,687.4,446.4,715.7,434.81,701.53,427.57,700.7,9,1099.07
28,5,378.1,613.2,393.5,637.3,385.83,625.26,382.88,624.55,12,
28,7,720.5,522.1,737.5,549.3,728.97,535.69,729.03,535.65,12,
28,12,337.8,613.9,359.1,644.4,348.45,629.13,345.13,628.39,12,
28,21,740.3,515.4,753.7,545.4,746.99,530.38,746.95,530.55,12,
28,26,750.0,300.2,759.6,323.8,754.79,311.97,755.42,310.93,12,
28,30,478.6,441.2,489.5,468.0,484.07,454.59,480.41,454.86,9,
28,46,1098.5,603.6,1114.7,638.5,1106.62,621.02,1106.8,622.42,5,
30,2,547.1,565.4,562.2,589.1,554.61,577.27,550.44,577.4,12,1103.61
30,3,423.3,687.4,447.8,715.8,435.58,701.6,430.77,701.06,10,
30,7,720.4,522.1,737.5,549.3,728.97,535.69,729.01,535.67,13,
30,12,338.0,614.1,360.0,644.4,349.0,629.23,346.67,628.73,13,
30,21,740.3,515.2,753.7,545.5,747.01,530.35,746.98,530.47,13,
30,26,749.9,300.3,759.5,323.9,754.72,312.12,755.14,311.4,13,
30,30,478.9,441.2,489.6,468.0,484.22,454.6,481.94,454.76,10,
30,46,1098.5,603.3,1114.7,638.3,1106.6,620.82,1106.72,621.78,6,
30,53,495.5,503.4,508.9,532.4,502.17,517.9,502.17,517.9,1,
30,61,807.7,640.8,831.0,668.0,819.35,654.37,819.35,654.37,1,
30,63,714.1,443.1,729.6,470.5,721.84,456.79,721.84,456.79,1,
32,2,547.8,557.1,564.7,586.0,556.26,571.58,552.77,575.07,13,1107.76
32,3,427.4,688.0,451.4,716.3,439.42,702.15,434.23,701.49,11,
32,7,720.5,522.2,737.5,549.4,728.99,535.81,729.0,535.72,14,
32,12,339.9,615.4,363.1,646.2,351.47,630.84,348.59,629.57,14,
32,21,740.3,515.6,753.5,545.3,746.91,530.47,746.95,530.47,14,
32,26,749.4,301.3,759.1,325.0,754.24,313.16,754.78,312.1,14,
32,30,481.0,440.6,491.3,466.0,486.14,453.31,483.62,454.18,11,
32,46,1098.3,602.6,1114.6,637.6,1106.48,620.06,1106.62,621.09,7,
32,53,496.7,503.5,510.1,532.6,503.43,518.04,502.68,517.96,2,
32,61,808.0,640.9,831.0,667.8,819.47,654.34,819.4,654.35,2,
32,63,719.5,442.6,734.5,470.0,727.01,456.28,723.91,456.59,2,
34,2,548.0,553.2,565.7,585.6,556.82,569.4,554.39,572.8,14,1114.31
34,3,428.9,688.2,452.6,716.4,440.79,702.29,436.86,701.81,12,
34,5,382.0,613.3,397.3,638.9,389.64,626.09,385.58,625.17,13,
34,6,872.8,680.6,888.3,706.7,880.57,693.63,886.59,696.28,8,
34,7,721.4,522.3,737.9,549.4,729.65,535.85,729.26,535.77,15,
34,12,340.1,615.9,364.3,646.9,352.19,631.41,350.03,630.31,15,
34,26,749.2,301.7,759.0,325.4,754.09,313.55,754.51,312.68,15,
34,30,481.9,440.6,491.7,465.0,486.78,452.83,484.88,453.64,12,
34,34,607.3,345.7,618.1,364.7,612.67,355.21,619.64,352.03,10,
34,42,792.0,367.9,807.9,395.4,799.95,381.62,810.79,384.38,5,
34,63,720.8,442.3,735.7,469.8,728.24,456.04,725.64,456.37,3,
36,2,549.6,552.3,567.5,585.0,558.55,568.63,556.05,571.14,15,1113.86
36,3,433.9,689.4,455.8,717.8,444.82,703.62,440.04,702.54,13,
36,5,384.8,612.9,401.2,639.7,393.04,626.3,388.57,625.62,14,
36,6,869.5,680.4,885.4,706.6,877.42,693.5,882.92,695.17,9,
36,7,722.2,522.5,738.0,549.3,730.11,535.9,729.6,535.82,16,
36,12,342.6,615.9,366.1,647.0,354.35,631.45,351.76,630.77,16,
36,26,748.6,302.7,758.3,326.5,753.47,314.62,754.09,313.46,16,
36,30,484.6,440.3,495.0,465.2,489.79,452.72,486.85,453.27,13,
36,34,602.4,347.9,613.4,367.4,607.91,357.61,614.95,354.27,11,
36,42,789.4,367.3,805.3,394.9,797.33,381.09,805.41,383.06,6,
36,63,727.4,439.9,741.9,467.3,734.66,453.57,729.25,455.25,4,
36,67,621.9,276.5,632.8,300.4,627.34,288.45,627.34,288.45,1,
36,68,638.6,263.5,645.7,282.8,642.15,273.18,642.15,273.18,1,
36,69,510.8,80.0,521.3,94.1,516.01,87.06,516.01,87.06,1,
38,3,436.0,690.0,456.7,718.5,446.34,704.28,442.56,703.23,14,1123.78
38,5,385.7,612.6,402.8,640.2,394.25,626.4,390.84,625.93,15,
38,6,868.2,680.3,884.4,706.4,876.29,693.36,880.27,694.45,10,
38,7,721.5,522.3,737.5,549.2,729.49,535.78,729.56,535.81,17,
38,12,343.6,616.1,366.7,647.1,355.14,631.58,353.11,631.09,17,
38,16,1108.1,515.7,1124.1,543.2,1116.1,529.45,1124.05,528.95,3,
38,21,740.1,513.5,753.7,545.6,746.86,529.53,746.91,530.09,15,
38,26,748.5,302.9,758.0,326.8,753.26,314.83,753.76,314.01,17,
38,30,485.5,440.1,496.2,465.1,490.84,452.6,488.45,453.0,14,
38,34,600.6,348.7,611.7,368.5,606.19,358.6,611.44,356.0,12,
38,44,611.9,248.4,618.8,266.4,615.34,257.36,614.1,251.64,3,
38,46,1098.3,598.8,1114.5,631.9,1106.42,615.37,1106.54,618.8,8,
38,53,504.2,509.2,517.7,534.3,510.93,521.72,505.98,519.46,3,
38,61,802.1,640.4,820.1,665.1,811.12,652.77,816.09,653.72,3,
38,63,729.5,439.0,743.9,466.4,736.67,452.72,732.22,454.24,5,
38,67,621.1,276.8,632.7,300.8,626.91,288.78,627.17,288.58,2,
38,68,636.9,265.3,643.8,284.1,640.38,274.69,641.44,273.78,2,
38,69,513.4,81.3,523.5,94.8,518.49,88.02,517.0,87.44,2,
40,3,437.0,690.2,456.7,718.8,446.83,704.51,444.27,703.74,15,1134.73
40,5,385.9,612.4,403.4,640.4,394.65,626.4,392.37,626.12,16,
40,6,867.7,680.3,884.2,706.3,875.93,693.33,878.53,694.0,11,
40,7,721.2,522.2,737.3,549.2,729.25,535.73,729.43,535.78,18,
40,12,344.0,616.1,366.8,647.1,355.4,631.61,354.03,631.3,18,
40,16,1107.9,515.6,1123.8,543.2,1115.89,529.43,1120.78,529.14,4,
40,21,740.0,513.4,753.7,545.7,746.87,529.56,746.9,529.88,16,
40,23,1218.4,421.9,1237.3,449.9,1227.83,435.9,1232.28,445.52,5,
40,26,748.5,302.9,757.9,326.9,753.18,314.89,753.53,314.36,18,
40,30,485.8,440.0,496.7,465.1,491.22,452.58,489.55,452.83,15,
40,34,600.1,348.9,611.2,368.9,605.62,358.92,609.11,357.17,13,
40,44,611.9,248.5,618.9,266.5,615.38,257.49,614.61,253.98,4,
40,46,1098.3,598.8,1114.5,631.6,1106.4,615.2,1106.49,617.36,9,
40,53,504.6,509.6,518.1,534.1,511.36,521.86,508.13,520.42,4,
40,61,802.3,640.4,819.6,665.2,810.93,652.79,814.02,653.35,4,
40,63,730.1,438.8,744.4,466.1,737.22,452.47,734.22,453.53,6,
40,67,620.9,276.9,632.8,300.8,626.89,288.84,627.06,288.69,3,
42,3,439.6,690.7,459.2,719.2,449.37,704.95,446.31,704.23,16,1143.07
42,5,387.4,612.6,404.9,640.6,396.17,626.62,393.89,626.32,17,
42,6,866.1,680.0,882.4,705.7,874.22,692.85,876.81,693.54,12,
42,7,721.5,522.4,737.4,549.3,729.45,535.84,729.44,535.8,19,
42,12,345.5,616.5,368.3,647.6,356.93,632.07,355.19,631.61,19,
42,16,1107.0,515.9,1122.7,543.3,1114.85,529.6,1118.41,529.33,5,
42,21,740.0,513.5,753.6,545.6,746.8,529.57,746.86,529.75,17,
42,23,1216.6,421.4,1236.1,449.9,1226.37,435.63,1229.91,441.56,6,
42,26,747.4,304.5,756.8,328.2,752.12,316.36,752.96,315.16,19,
42,30,488.1,441.6,500.0,469.6,494.03,455.61,491.35,453.94,16,
42,34,597.8,350.0,608.8,369.8,603.33,359.9,606.8,358.26,14,
42,44,610.2,249.5,617.6,267.5,613.92,258.52,614.33,255.79,5,
42,46,1098.3,598.0,1114.6,631.2,1106.45,614.65,1106.47,616.28,10,
42,53,507.6,509.0,520.8,534.0,514.2,521.48,510.56,520.85,5,
42,61,799.2,640.7,814.1,665.0,806.63,652.88,811.07,653.16,5,
42,63,735.3,437.5,749.5,465.0,742.37,451.29,737.48,452.63,7,
42,67,619.9,277.1,632.1,301.5,626.0,289.28,626.63,288.92,4,
44,0,980.1,273.0,994.5,308.7,987.3,290.84,984.59,280.4,5,1133.49
44,2,560.2,564.0,577.6,591.6,568.92,577.78,561.2,573.79,16,
44,7,721.7,522.4,737.4,549.3,729.54,535.85,729.48,535.82,20,
