frame,obj_id,x1,y1,x2,y2,cx,cy,smooth_cx,smooth_cy,track_age,inf_ms
8,0,2.4,359.8,84.4,628.7,43.42,494.21,43.42,494.21,1,786.69
8,1,333.0,279.0,390.1,422.7,361.56,350.87,361.56,350.87,1,
8,2,466.6,345.7,524.8,466.1,495.69,405.89,495.69,405.89,1,
8,3,244.3,107.9,285.9,240.8,265.11,174.39,265.11,174.39,1,
8,5,125.8,135.2,176.0,247.1,150.92,191.13,150.92,191.13,1,
8,6,645.5,298.1,713.6,421.9,679.54,359.99,679.54,359.99,1,
8,7,185.5,270.2,228.3,384.0,206.9,327.12,206.9,327.12,1,
10,0,0.5,355.7,83.7,625.2,42.14,490.42,42.65,491.94,2,791.05
10,1,336.8,277.8,394.5,421.5,365.65,349.66,364.02,350.14,2,
10,2,463.9,349.5,519.7,466.7,491.79,408.08,493.35,407.2,2,
10,3,244.5,108.7,285.4,241.0,264.99,174.84,265.04,174.66,2,
10,5,128.7,134.5,178.6,244.2,153.65,189.34,152.56,190.05,2,
10,6,646.5,299.8,709.0,418.9,677.72,359.32,678.45,359.59,2,
10,7,189.6,270.4,232.3,379.1,210.99,324.78,209.36,325.71,2,
10,10,479.6,127.8,531.5,291.3,505.53,209.56,505.53,209.56,1,
12,0,-0.2,353.9,84.3,625.9,42.04,489.91,42.28,490.72,3,802.36
12,1,338.0,276.6,393.8,417.4,365.92,346.98,365.16,348.24,3,
12,2,458.9,353.8,515.5,473.2,487.24,413.47,489.68,410.96,3,
12,3,244.6,109.5,285.6,242.9,265.13,176.18,265.09,175.57,3,
12,5,129.5,135.3,174.0,239.5,151.76,187.37,152.08,188.45,3,
12,6,645.0,300.3,704.4,418.3,674.75,359.35,676.23,359.44,3,
12,7,193.1,273.9,235.8,381.5,214.45,327.66,212.41,326.88,3,
12,10,482.3,126.8,545.2,301.8,513.7,214.31,510.43,212.41,2,
14,0,-2.0,355.5,80.2,626.6,39.12,491.04,40.39,490.91,4,799.26
14,1,338.5,275.2,392.9,414.0,365.72,344.61,365.5,346.06,4,
14,2,457.2,356.6,514.7,478.9,485.94,417.77,487.44,415.05,4,
14,3,244.8,111.1,285.7,245.3,265.27,178.22,265.2,177.16,4,
14,5,131.2,133.9,173.6,237.4,152.41,185.64,152.28,186.76,4,
14,6,640.8,298.4,703.5,420.2,672.15,359.31,673.78,359.37,4,
14,7,196.5,277.0,238.4,384.9,217.48,330.96,215.45,329.33,4,
14,10,488.5,148.0,551.6,307.1,520.05,227.58,516.2,221.51,3,
14,12,570.3,403.0,629.3,545.8,599.77,474.41,599.77,474.41,1,
16,0,-1.8,354.9,84.6,639.7,41.4,497.29,41.0,494.74,5,804.94
16,1,339.7,274.3,393.0,410.7,366.36,342.47,366.02,343.91,5,
16,2,455.4,360.4,513.0,486.0,484.23,423.22,485.51,419.95,5,
16,3,245.5,112.4,286.9,246.8,266.21,179.58,265.81,178.61,5,
16,5,135.0,132.8,175.0,236.0,155.01,184.39,153.92,185.34,5,
16,6,635.3,298.2,696.5,419.4,665.9,358.82,669.05,359.04,5,
16,7,199.8,277.8,241.3,383.9,220.54,330.85,218.51,330.24,5,
16,10,500.9,161.4,555.6,305.9,528.27,233.61,523.45,228.77,4,
16,12,565.8,402.6,628.1,545.1,596.94,473.87,598.07,474.09,2,
18,1,341.0,273.3,393.4,408.0,367.22,340.63,366.74,341.94,6,825.49
18,2,455.5,362.7,511.5,487.7,483.48,425.21,484.29,423.11,6,
18,3,246.4,112.5,289.1,247.1,267.76,179.77,266.98,179.31,6,
18,5,139.8,130.2,181.3,237.1,160.58,183.67,157.92,184.34,6,
18,6,632.5,297.9,692.2,419.6,662.32,358.74,665.02,358.86,6,
18,7,202.5,278.4,244.0,384.7,223.27,331.57,221.37,331.04,6,
18,10,509.9,168.3,558.0,302.7,533.93,235.52,529.73,232.82,5,
18,12,560.1,402.0,626.8,546.1,593.42,474.02,595.28,474.05,3,
20,1,341.9,272.4,393.7,406.6,367.78,339.53,367.37,340.49,7,867.38
20,2,455.2,366.3,509.9,491.4,482.56,428.86,483.25,426.56,7,
20,3,247.0,113.3,289.7,247.0,268.38,180.17,267.82,179.83,7,
20,5,141.0,130.4,181.9,241.4,161.45,185.87,160.03,185.26,7,
20,6,627.6,297.6,688.1,421.3,657.86,359.43,660.72,359.2,7,
20,7,206.3,281.9,248.7,390.6,227.49,336.25,225.04,334.17,7,
20,10,516.3,167.7,558.8,286.6,537.54,227.18,534.42,229.44,6,
20,12,557.6,400.7,628.0,545.5,592.8,473.11,593.79,473.48,4,
20,13,232.7,363.2,296.2,503.1,264.42,433.14,264.42,433.14,1,
20,15,476.3,138.1,520.4,245.3,498.3,191.69,498.3,191.69,1,
22,1,342.4,271.1,394.2,406.1,368.31,338.62,367.93,339.37,8,868.68
22,2,454.4,370.8,507.1,496.1,480.74,433.45,481.75,430.7,8,
22,3,248.1,115.2,290.2,246.6,269.17,180.91,268.63,180.47,8,
22,5,146.1,125.9,184.6,234.0,165.37,179.93,163.24,182.06,8,
22,6,619.7,295.9,682.6,422.2,651.12,359.03,654.96,359.1,8,
22,7,209.5,285.2,253.3,400.0,231.4,342.57,228.86,339.21,8,
22,10,522.5,167.3,561.5,269.5,541.99,218.41,538.96,222.82,7,
22,12,554.9,401.1,624.2,543.5,589.52,472.33,591.23,472.79,5,
22,13,237.3,365.6,301.9,507.9,269.6,436.76,267.53,435.31,2,
22,15,474.1,137.8,520.4,245.9,497.26,191.85,497.68,191.79,2,
24,1,342.5,269.8,394.4,406.2,368.44,337.99,368.24,338.54,9,829.82
24,2,450.5,375.0,503.0,502.3,476.75,438.67,478.75,435.48,9,
24,3,250.4,116.4,292.2,244.9,271.31,180.65,270.24,180.58,9,
24,5,149.2,126.0,186.6,236.7,167.9,181.39,166.04,181.66,9,
24,6,615.6,294.7,679.0,422.2,647.28,358.43,650.35,358.7,9,
24,7,212.5,281.9,257.1,392.2,234.8,337.05,232.42,337.91,9,
24,10,526.6,174.5,565.2,278.1,545.9,226.3,543.12,224.91,8,
24,12,552.4,401.4,619.1,541.5,585.76,471.46,587.94,471.99,6,
24,15,478.2,138.6,521.3,237.2,499.76,187.86,498.93,189.43,3,
26,1,342.6,267.4,394.7,405.6,368.61,336.5,368.46,337.32,10,812.53
26,2,448.1,379.7,500.2,510.0,474.13,444.85,475.98,441.1,10,
26,3,252.2,117.6,294.7,244.5,273.47,181.08,272.18,180.88,10,
26,5,153.4,123.9,191.2,236.1,172.3,180.03,169.8,180.68,10,
26,6,614.9,293.8,677.5,421.9,646.23,357.84,647.88,358.18,10,
26,7,214.2,285.7,259.9,400.0,237.02,342.86,235.18,340.88,10,
26,10,531.4,176.4,571.7,282.7,551.55,229.54,548.18,227.69,9,
26,12,548.1,402.6,607.4,538.9,577.72,470.78,581.81,471.26,7,
26,15,480.8,141.4,522.1,236.0,501.42,188.69,500.42,188.99,4,
28,1,342.8,266.3,395.6,406.2,369.18,336.23,368.89,336.67,11,820.06
28,2,444.8,382.3,496.5,515.9,470.64,449.06,472.78,445.88,11,
28,3,255.3,118.5,300.1,244.6,277.72,181.54,275.5,181.28,11,
28,5,156.5,122.3,194.5,235.9,175.51,179.1,173.22,179.73,11,
28,6,614.9,292.1,677.2,421.3,646.05,356.72,646.78,357.31,11,
28,7,217.8,287.4,266.1,406.6,241.96,347.01,239.25,344.56,11,
28,10,536.5,176.1,581.1,285.7,558.83,230.91,554.57,229.62,10,
28,12,545.9,402.3,599.5,536.2,572.68,469.25,576.33,470.06,8,
28,15,481.4,143.7,521.9,237.8,501.63,190.75,501.15,190.05,5,
28,18,1.8,334.6,68.1,476.9,34.94,405.73,34.94,405.73,1,
30,1,343.2,264.6,396.3,406.2,369.72,335.42,369.39,335.92,12,832.91
30,2,443.5,381.7,494.4,513.5,468.94,447.63,470.47,446.93,12,
30,3,258.3,119.4,305.5,244.8,281.89,182.11,279.34,181.77,12,
30,5,160.8,121.0,200.6,236.7,180.69,178.87,177.7,179.22,12,
30,6,614.2,290.1,676.6,421.2,645.39,355.65,645.95,356.31,12,
30,7,222.1,288.1,272.6,409.6,247.37,348.83,244.12,347.12,12,
30,10,539.1,175.8,584.0,285.3,561.56,230.56,558.77,230.19,11,
30,12,541.9,401.0,591.6,533.6,566.79,467.31,570.6,468.41,9,
30,13,251.2,380.5,306.0,505.4,278.58,442.97,274.16,439.91,3,
30,15,482.2,145.5,522.3,241.0,502.23,193.24,501.8,191.96,6,
30,18,2.0,332.2,68.4,471.3,35.23,401.75,35.11,403.34,2,
32,1,343.6,262.4,397.3,406.2,370.45,334.28,370.03,334.94,13,813.5
32,2,439.6,384.9,491.6,518.2,465.61,451.56,467.55,449.71,13,
32,3,261.6,121.1,312.0,247.1,286.79,184.12,283.81,183.18,13,
32,5,165.0,119.7,207.2,236.5,186.1,178.07,182.74,178.53,13,
32,6,612.4,288.4,675.1,420.0,643.75,354.19,644.63,355.04,13,
32,7,226.4,288.1,281.4,411.4,253.9,349.76,249.99,348.71,13,
32,10,544.4,175.6,592.2,287.3,568.26,231.44,564.46,230.94,12,
32,12,538.0,399.7,586.9,533.1,562.44,466.39,565.71,467.2,10,
32,13,255.2,383.7,309.7,507.8,282.47,445.76,279.15,443.42,4,
32,15,482.4,147.8,522.5,246.6,502.48,197.17,502.2,195.08,7,
32,18,4.1,330.7,69.9,468.1,37.0,399.4,36.24,400.98,3,
34,1,343.6,259.5,397.6,405.4,370.6,332.46,370.37,333.45,14,824.22
34,2,436.9,386.5,489.0,518.6,462.95,452.58,464.79,451.43,14,
34,3,263.1,122.2,316.1,247.7,289.56,184.91,287.26,184.22,14,
34,5,167.8,118.6,210.4,234.4,189.11,176.46,186.56,177.29,14,
34,6,611.3,287.6,670.9,418.6,641.11,353.1,642.52,353.88,14,
34,7,231.1,288.4,289.2,411.7,260.14,350.04,256.08,349.51,14,
34,10,548.1,175.1,596.9,287.4,572.51,231.29,569.29,231.15,13,
34,12,533.8,399.6,582.3,531.8,558.08,465.71,561.13,466.3,11,
34,15,482.6,148.8,522.7,250.8,502.65,199.82,502.47,197.93,8,
34,18,6.7,329.1,71.8,466.2,39.23,397.67,38.04,398.99,4,
36,1,343.1,257.1,396.9,404.2,370.04,330.65,370.17,331.77,15,825.59
36,2,430.4,389.0,484.1,520.9,457.24,454.95,460.26,453.54,15,
36,3,263.6,123.3,319.2,249.7,291.41,186.5,289.75,185.59,15,
36,5,171.2,117.3,213.7,230.3,192.46,173.81,190.1,175.2,15,
36,6,609.8,285.4,664.4,413.4,637.13,349.42,639.29,351.2,15,
36,7,234.4,288.7,294.7,411.7,264.59,350.16,261.18,349.9,15,
36,10,551.1,175.0,597.9,286.3,574.52,230.65,572.43,230.85,14,
36,15,482.8,148.8,523.7,254.3,503.23,201.54,502.93,200.09,9,
36,18,8.8,327.9,73.7,466.1,41.24,397.0,39.96,397.79,5,
38,1,342.7,255.2,396.4,402.9,369.59,329.07,369.82,330.15,16,823.63
38,2,431.1,391.4,483.1,521.7,457.11,456.52,458.37,455.33,16,
38,3,265.5,123.9,322.0,250.5,293.78,187.2,292.17,186.56,16,
38,5,176.3,115.3,218.1,227.1,197.24,171.22,194.39,172.81,16,
38,6,608.8,285.0,659.2,413.1,633.99,349.02,636.11,349.89,16,
38,7,238.8,289.1,300.3,412.4,269.56,350.75,266.21,350.41,16,
38,10,555.0,175.7,600.0,286.9,577.53,231.33,575.49,231.14,15,
38,15,482.6,149.9,523.9,256.5,503.25,203.18,503.12,201.94,10,
38,18,10.8,326.2,75.8,464.9,43.32,395.55,41.98,396.45,6,
40,1,342.9,252.7,396.5,400.8,369.66,326.76,369.73,328.12,17,833.79
40,2,423.3,405.5,479.8,555.1,451.58,480.3,454.29,470.31,17,
