frame,obj_id,x1,y1,x2,y2,cx,cy,smooth_cx,smooth_cy,track_age,inf_ms
6,0,239.8,102.5,280.8,221.0,260.31,161.74,260.31,161.74,1,311.59
6,1,917.7,227.8,960.2,386.1,938.94,306.95,938.94,306.95,1,
6,2,346.2,279.5,407.8,443.8,377.04,361.64,377.04,361.64,1,
6,3,298.3,110.0,337.9,229.6,318.1,169.81,318.1,169.81,1,
6,4,360.8,24.4,397.3,135.5,379.05,79.92,379.05,79.92,1,
6,6,794.4,166.7,848.3,319.5,821.36,243.1,821.36,243.1,1,
6,7,494.3,222.4,550.7,360.7,522.5,291.57,522.5,291.57,1,
6,8,688.8,154.5,736.3,289.0,712.56,221.79,712.56,221.79,1,
6,9,742.4,68.8,780.7,181.9,761.55,125.37,761.55,125.37,1,
6,11,491.2,150.3,529.1,246.3,510.16,198.32,510.16,198.32,1,
8,0,240.1,101.1,281.5,218.6,260.79,159.89,260.5,161.0,2,308.98
8,1,917.0,220.9,960.3,385.4,938.62,303.18,938.81,305.44,2,
8,2,350.5,285.2,408.9,444.2,379.68,364.71,378.09,362.86,2,
8,3,298.5,108.7,338.6,231.9,318.57,170.32,318.29,170.02,2,
8,4,358.8,23.4,394.5,135.3,376.66,79.34,378.1,79.69,2,
8,6,794.9,167.1,847.9,318.9,821.41,242.98,821.38,243.05,2,
8,7,494.0,221.0,549.7,359.2,521.86,290.12,522.25,290.99,2,
8,8,692.8,151.7,739.9,286.5,716.36,219.09,714.08,220.71,2,
8,9,740.2,63.9,778.0,179.2,759.13,121.54,760.58,123.84,2,
8,11,496.0,151.7,531.6,236.1,513.8,193.91,511.61,196.56,2,
10,0,239.9,101.6,281.6,220.7,260.74,161.18,260.6,161.07,3,314.06
10,1,916.8,228.6,960.0,390.2,938.39,309.41,938.64,307.03,3,
10,2,348.8,285.6,409.3,447.4,379.03,366.51,378.47,364.32,3,
10,3,299.0,109.3,339.3,235.4,319.16,172.38,318.64,170.96,3,
10,4,355.2,22.4,388.3,129.7,371.76,76.02,375.56,78.22,3,
10,5,543.2,226.4,587.4,357.3,565.29,291.87,565.29,291.87,1,
10,6,793.2,164.7,848.0,317.8,820.64,241.25,821.08,242.33,3,
10,7,491.4,218.9,549.0,360.8,520.2,289.84,521.43,290.53,3,
10,8,694.4,152.1,741.4,286.6,717.9,219.32,715.61,220.15,3,
10,9,738.0,63.7,776.6,181.4,757.26,122.57,759.26,123.33,3,
10,11,499.8,153.5,534.4,233.3,517.11,193.43,513.81,195.31,3,
12,0,239.7,109.8,281.1,221.9,260.42,165.88,260.52,162.99,4,318.23
12,1,916.5,229.7,959.7,388.9,938.1,309.33,938.42,307.95,4,
12,2,367.3,283.0,413.7,417.2,390.52,350.08,383.29,358.63,4,
12,3,298.5,106.3,339.9,236.3,319.24,171.33,318.88,171.11,4,
12,4,351.2,18.3,385.5,131.5,368.34,74.91,372.67,76.9,4,
12,5,542.7,226.8,585.6,354.0,564.18,290.41,564.85,291.29,2,
12,6,792.7,163.0,848.4,318.0,820.56,240.5,820.87,241.6,4,
12,7,490.3,218.1,548.7,361.1,519.52,289.62,520.67,290.17,4,
12,8,696.4,152.2,743.0,285.7,719.74,218.97,717.26,219.68,4,
12,9,737.6,61.1,776.2,180.5,756.9,120.79,758.31,122.31,4,
12,11,501.9,153.7,537.9,234.4,519.91,194.02,516.25,194.79,4,
14,0,239.3,105.4,281.6,220.8,260.46,163.13,260.5,163.05,5,329.64
14,1,914.6,231.4,959.1,389.4,936.87,310.42,937.8,308.94,5,
