frame,obj_id,x1,y1,x2,y2,cx,cy,smooth_cx,smooth_cy,track_age,inf_ms
6,0,791.7,166.6,849.5,323.0,820.6,244.85,820.6,244.85,1,827.9
6,4,493.7,220.7,552.7,366.1,523.18,293.43,523.18,293.43,1,
6,6,911.7,230.9,960.2,392.1,935.98,311.5,935.98,311.5,1,
6,7,293.4,107.9,340.2,243.3,316.79,175.62,316.79,175.62,1,
6,8,738.9,69.9,784.6,187.0,761.75,128.48,761.75,128.48,1,
6,9,235.9,101.5,282.9,229.3,259.4,165.4,259.4,165.4,1,
6,10,541.2,226.4,593.8,367.5,567.47,296.98,567.47,296.98,1,
6,11,354.8,24.0,403.6,139.3,379.2,81.64,379.2,81.64,1,
6,12,575.7,-0.9,616.3,111.1,595.97,55.11,595.97,55.11,1,
6,13,340.7,277.3,416.1,447.0,378.35,362.18,378.35,362.18,1,
6,14,684.6,149.5,736.5,296.4,710.57,222.98,710.57,222.98,1,
6,16,608.3,70.0,653.8,197.7,631.04,133.84,631.04,133.84,1,
6,20,497.1,-0.8,543.1,88.5,520.11,43.82,520.11,43.82,1,
8,0,791.5,166.6,849.1,322.9,820.32,244.73,820.49,244.8,2,793.86
8,2,921.6,233.2,959.5,362.0,940.52,297.63,940.52,297.63,1,
8,4,494.1,224.3,553.3,370.3,523.69,297.27,523.38,294.97,2,
8,6,911.3,233.8,959.9,393.4,935.62,313.59,935.83,312.34,2,
8,7,294.9,107.2,340.7,240.7,317.81,173.98,317.2,174.96,2,
8,8,736.8,69.1,781.1,185.2,758.94,127.18,760.63,127.96,2,
8,9,236.8,101.3,284.3,230.2,260.56,165.76,259.86,165.55,2,
8,10,539.0,226.0,591.0,364.7,564.98,295.33,566.48,296.32,2,
8,11,352.4,23.6,397.3,136.9,374.83,80.25,377.45,81.08,2,
8,12,574.1,-1.3,615.5,111.2,594.78,54.97,595.49,55.05,2,
8,13,342.9,283.7,415.9,448.8,379.37,366.2,378.76,363.79,2,
8,14,685.2,147.2,738.8,294.9,711.99,221.07,711.14,222.22,2,
8,16,612.7,69.3,659.5,198.1,636.08,133.68,633.06,133.77,2,
8,20,497.4,-0.3,542.9,89.1,520.15,44.45,520.13,44.07,2,
8,21,490.9,152.7,536.3,245.7,513.6,199.21,513.6,199.21,1,
10,0,791.1,165.2,849.1,320.6,820.11,242.92,820.33,244.05,3,799.31
10,1,788.7,163.7,852.0,322.5,820.36,243.13,820.36,243.13,1,
10,2,920.3,232.0,959.1,363.8,939.68,297.91,940.19,297.74,2,
10,3,490.6,215.8,551.3,365.9,520.94,290.85,520.94,290.85,1,
10,5,736.8,66.0,777.8,184.9,757.32,125.49,757.32,125.49,1,
10,6,909.6,232.0,959.6,393.5,934.6,312.78,935.34,312.51,3,
10,7,295.6,105.6,341.2,239.3,318.41,172.45,317.68,173.96,3,
10,8,734.4,66.6,780.5,186.0,757.44,126.28,759.35,127.29,3,
10,9,236.6,100.7,284.0,227.7,260.31,164.2,260.04,165.01,3,
10,10,535.1,219.7,589.6,363.3,562.38,291.48,564.84,294.39,3,
10,11,349.5,22.8,392.7,136.6,371.12,79.7,374.92,80.53,3,
10,12,571.5,-2.1,614.2,109.8,592.87,53.82,594.44,54.56,3,
10,13,345.7,283.6,417.9,449.4,381.81,366.48,379.98,364.87,3,
10,14,686.5,144.2,744.1,294.5,715.28,219.34,712.8,221.07,3,
10,16,620.1,69.1,671.4,200.6,645.76,134.82,638.14,134.19,3,
10,17,473.9,140.2,518.5,235.6,496.18,187.87,496.18,187.87,1,
10,20,494.5,-0.4,541.0,90.9,517.77,45.25,519.18,44.55,3,
10,21,494.7,153.1,539.5,245.5,517.1,199.32,515.0,199.26,2,
12,0,791.2,164.0,849.2,319.8,820.24,241.9,820.3,243.19,4,789.05
12,1,786.6,162.7,851.1,322.8,818.85,242.73,819.76,242.97,2,
12,3,487.0,215.1,549.4,366.7,518.2,290.92,519.84,290.88,2,
12,5,736.1,63.2,778.1,183.8,757.09,123.51,757.23,124.7,2,
12,6,910.4,232.2,959.9,391.4,935.17,311.8,935.27,312.23,4,
12,7,295.4,103.9,342.3,240.1,318.82,171.99,318.14,173.17,4,
12,8,733.2,64.3,780.2,187.0,756.66,125.66,758.28,126.64,4,
12,9,236.7,100.2,283.3,224.9,260.01,162.56,260.03,164.03,4,
12,10,532.8,217.0,586.7,362.4,559.75,289.7,562.8,292.51,4,
12,11,348.2,22.4,389.8,135.8,368.99,79.07,372.55,79.95,4,
12,12,566.3,-2.9,611.9,109.7,589.11,53.4,592.31,54.1,4,
12,13,353.2,283.2,421.7,447.3,387.43,365.26,382.96,365.02,4,
12,14,695.1,147.2,750.4,291.8,722.75,219.48,716.78,220.43,4,
12,16,622.5,72.1,676.3,201.8,649.37,136.96,642.63,135.3,4,
12,17,466.9,145.1,511.7,248.8,489.3,196.96,493.43,191.51,2,
12,21,496.2,153.6,541.9,246.3,519.08,199.94,516.63,199.53,3,
14,0,791.1,163.3,849.2,319.1,820.15,241.19,820.24,242.39,5,776.04
14,1,786.9,162.0,850.7,322.7,818.81,242.35,819.38,242.72,3,
14,2,913.5,229.6,958.6,363.5,936.05,296.56,938.53,297.27,3,
14,3,486.7,214.7,549.1,367.2,517.91,290.97,519.07,290.91,3,
14,5,734.4,62.0,777.0,182.7,755.68,122.35,756.61,123.76,3,
14,6,910.1,232.9,959.8,391.1,934.91,312.01,935.13,312.14,5,
14,7,296.2,100.9,343.3,235.4,319.76,168.17,318.79,171.17,5,
14,8,732.2,62.2,779.5,185.1,755.84,123.68,757.3,125.45,5,
14,9,236.4,100.8,283.3,226.1,259.86,163.44,259.96,163.79,5,
14,10,531.9,215.4,585.2,361.6,558.57,288.53,561.11,290.92,5,
14,11,346.6,20.8,385.1,132.4,365.88,76.61,369.88,78.61,5,
14,12,561.5,-3.0,610.2,111.3,585.84,54.14,589.72,54.11,5,
14,13,356.2,284.4,424.1,447.3,390.13,365.88,385.83,365.36,5,
14,14,697.9,148.3,751.6,291.6,724.74,219.94,719.97,220.23,5,
14,16,626.9,72.9,679.6,202.4,653.22,137.63,646.86,136.23,5,
14,17,460.9,149.0,506.4,262.0,483.62,205.46,489.51,197.09,3,
14,21,499.5,152.9,545.6,246.1,522.57,199.52,519.01,199.53,4,
16,1,787.1,159.1,850.5,318.3,818.84,238.69,819.16,241.11,4,771.09
16,2,911.1,230.1,958.6,363.7,934.84,296.91,937.05,297.12,4,
16,3,485.6,213.9,548.7,368.1,517.13,291.0,518.3,290.95,4,
16,5,733.9,60.6,777.0,179.5,755.44,120.04,756.14,122.27,4,
16,6,908.7,232.7,959.4,391.7,934.06,312.18,934.7,312.16,6,
16,7,297.9,100.6,345.2,233.8,321.57,167.17,319.9,169.57,6,
16,8,731.1,60.4,779.0,182.7,755.04,121.56,756.4,123.9,6,
16,9,236.0,99.3,282.6,224.7,259.3,161.99,259.7,163.07,6,
16,10,531.5,215.0,584.7,361.7,558.11,288.35,559.91,289.89,6,
16,11,344.0,22.5,380.4,127.8,362.22,75.15,366.82,77.23,6,
16,12,557.2,-3.5,610.1,111.5,583.65,54.02,587.29,54.08,6,
16,14,699.7,147.1,753.9,292.2,726.81,219.65,722.7,220.0,6,
16,16,632.1,72.0,685.8,204.2,658.95,138.11,651.7,136.99,6,
16,17,459.2,142.8,506.0,262.7,482.63,202.76,486.76,199.36,4,
16,20,481.0,-2.7,517.9,54.7,499.44,26.01,511.29,37.13,4,
16,21,502.1,150.8,549.1,246.1,525.59,198.45,521.64,199.1,5,
16,25,378.5,290.1,425.1,438.0,401.8,364.07,401.8,364.07,1,
18,1,787.0,157.3,849.2,314.3,818.13,235.79,818.75,238.98,5,786.22
18,2,909.5,229.7,958.8,363.4,934.17,296.55,935.9,296.9,5,
18,3,482.8,212.3,547.4,367.8,515.08,290.04,517.01,290.58,5,
18,5,731.9,59.5,775.8,178.1,753.84,118.78,755.22,120.87,5,
18,6,907.4,234.1,959.2,392.3,933.31,313.22,934.14,312.58,7,
18,7,298.7,99.1,346.1,232.5,322.37,165.83,320.89,168.07,7,
18,8,730.6,58.9,778.6,180.1,754.6,119.49,755.68,122.13,7,
18,9,235.9,98.7,282.4,223.7,259.14,161.2,259.48,162.32,7,
18,10,531.7,214.0,584.9,359.8,558.26,286.93,559.25,288.71,7,
18,12,552.6,-3.1,604.9,110.3,578.76,53.62,583.88,53.9,7,
18,14,701.0,148.2,755.8,293.9,728.43,221.07,724.99,220.43,7,
18,17,455.2,135.7,503.1,261.3,479.13,198.51,483.71,199.02,5,
18,20,477.8,-3.8,512.3,49.8,495.08,23.04,504.8,31.5,5,
18,21,504.0,150.0,551.6,245.6,527.79,197.82,524.1,198.58,6,
18,24,297.0,100.3,343.7,231.1,320.34,165.7,320.34,165.7,1,
18,25,383.0,289.9,431.8,450.2,407.36,370.03,404.02,366.45,2,
18,26,333.4,10.7,380.1,140.2,356.72,75.46,356.72,75.46,1,
18,27,632.5,76.0,680.3,198.2,656.39,137.08,656.39,137.08,1,
20,0,789.7,156.2,846.8,309.5,818.25,232.89,819.44,238.59,6,789.5
20,1,787.5,155.8,848.2,311.1,817.84,233.43,818.39,236.76,6,
20,2,907.5,229.0,958.8,363.2,933.15,296.08,934.8,296.57,6,
20,3,481.6,212.7,547.1,368.6,514.34,290.67,515.94,290.62,6,
20,5,730.8,57.7,774.9,177.1,752.86,117.37,754.27,119.47,6,
20,6,906.5,234.8,959.3,393.7,932.9,314.22,933.65,313.24,8,
20,8,729.3,58.4,777.7,178.5,753.48,118.45,754.8,120.66,8,
20,10,530.7,213.6,583.5,358.6,557.07,286.07,558.38,287.65,8,
20,12,549.7,-2.5,600.6,109.0,575.14,53.23,580.38,53.63,8,
20,14,703.9,147.5,759.1,294.2,731.49,220.86,727.59,220.6,8,
20,17,450.9,135.0,499.1,261.3,475.0,198.13,480.23,198.66,6,
20,21,506.9,148.5,555.5,245.6,531.23,197.03,526.95,197.96,7,
20,24,297.4,98.1,343.4,227.0,320.43,162.59,320.38,164.45,2,
20,25,388.7,286.5,437.3,450.3,412.98,368.4,407.6,367.23,3,
20,26,329.7,11.3,379.5,141.0,354.58,76.13,355.87,75.73,2,
20,27,640.2,77.9,681.8,194.6,660.99,136.26,658.23,136.75,2,
20,29,231.6,98.2,280.9,226.2,256.24,162.18,256.24,162.18,1,
22,0,789.4,155.4,846.5,307.4,817.97,231.41,818.85,235.71,7,788.18
22,1,788.1,155.2,848.7,309.2,818.41,232.21,818.4,234.94,7,
22,2,905.8,227.3,958.2,364.5,932.0,295.91,933.68,296.3,7,
22,3,479.4,211.9,545.1,367.1,512.24,289.48,514.46,290.16,7,
22,6,906.1,236.7,959.5,396.2,932.77,316.46,933.3,314.53,9,
22,7,298.7,98.4,346.9,231.2,322.8,164.79,321.65,166.76,8,
22,8,728.5,58.1,776.2,176.5,752.32,117.31,753.81,119.32,9,
22,9,232.9,95.5,278.7,219.8,255.83,157.63,258.02,160.45,8,
22,10,529.3,215.3,582.3,362.4,555.82,288.85,557.36,288.13,9,
22,12,546.0,-2.2,595.0,106.9,570.47,52.31,576.42,53.1,9,
22,17,445.2,138.3,496.0,268.6,470.61,203.43,476.38,200.57,7,
22,21,510.1,148.8,558.9,245.6,534.5,197.2,529.97,197.66,8,
22,24,296.7,99.1,342.4,230.1,319.55,164.59,320.05,164.51,3,
22,25,392.4,284.1,443.2,454.0,417.8,369.06,411.68,367.96,4,
